operator,num_of_crashes
Aeroflot,225
" Air Force",143
Air France,71
Deutsche Lufthansa,63
" Army Air Forces",44
United Air Lines,44
Pan American World Airways,41
China National Aviation Corporation,38
American Airlines,37
US Aerial Mail Service,35
Indian Airlines,34
KLM Royal Dutch Airlines,34
Philippine Air Lines,33
Royal Air Force,32
Private,31
" Navy",30
British Overseas Airways,29
AVIANCA,27
" Army",27
Eastern Air Lines,25
Northwest Orient Airlines,25
Sabena,24
Aeropostale,24
Imperial Airways,23
Military -Royal Air Force,22
VASP,20
British European Airways,19
Merpati Nusantara Airlines,18
Indian Air Force,18
Garuda Indonesia Airlines,18
Trans Continental and Western Air,18
Trans World Airlines,17
Russian Air Force,17
Varig,17
Pakistan International Airlines,16
Mexicana,16
Linea Aeropostal Venezolana,15
German Navy,15
Ceskoslovenske Aerolinie,15
Afghan Republican Air Force,15
Air Taxi,14
China Airlines (Taiwan),14
Ethiopian Airlines,14
Cruzeiro,14
Cubana de Aviacion,13
Qantas,13
Turkish Airlines (THY),13
Soviet Air Force,13
Tarom,12
SATENA,12
Panair do Brasil,12
Delta Air Lines,12
Iberia Airlines,12
Aerolineas Argentinas,12
" Marine Corps",12
Air Vietnam (South Vietnam),11
Canadian Pacific Air Lines,11
Burma Airways,11
Air Union,11
Flying Tiger Line,11
LOT Polish Airlines,11
Swissair,11
TACA,10
United Arab Airlines,10
Royal Australian Air Force,10
Korean Airlines,10
Faucett,10
Balkan Bulgarian Airlines,10
Brazilian Air Force,10
Braniff Airlines,10
Air India,10
Air America,9
Alaska Airlines,9
British Airways,9
Charter,9
Alitalia,9
American Airways,9
Ariana Afghan Airlines,9
Grands Express Aeriens,9
Egyptair,9
Japan Air Lines,9
Lloyd Aereo Boliviano,9
Western Airlines,9
Varney Air Lines,8
Royal Nepal Airlines,8
Philippine Air Force,8
National Air Transport,8
National Airlines,8
JAT Yugoslav Airlines,8
Iran Air,8
Continental Airlines,8
Australian National Airways,8
CAAC,8
Capital Airlines,7
Avensa,7
Aviaco,7
Angolan Air Force,7
Ala Littoria,7
French Air Force,7
Indonesian Air Force,7
Kalinga Airlines,7
Misrair,7
Lufthansa,7
Malev Hungarian Airlines,7
Royal Canadian Air Force,7
REAL,7
Thai Airways,7
Trans Canada Air Lines,7
TAM (Bolivia),7
Sri Lanka Air Force,7
US Air Force,7
Slick Airways,6
South African Airways,6
TAM (Brazil),6
TAME,6
Private charter,6
Saudi Arabian Airlines,6
Scandinavian Airlines (SAS),6
Pacific Air Transport,6
Pakistan Air Force,6
Iranian Air Force,6
Far Eastern Air Transport,6
Fuerza AÃƒÂ©rea del Peru,6
Colonial Air Transport,6
Air Algerie,6
Air Canada,6
All Nippon Airways,6
Allegheny Airlines,6
Boeing Air Transport,6
CIDNA,6
British South American Airways,6
Chinese Air Force,5
Cathay Pacific Airways,5
BOAC,5
Aviateca,5
Austral Lineas Aeras (Argentina),5
Aigle Azur,5
Air Orient,5
Aero Transporti Italiani,5
Aerosucre Colombia,5
Civil Air Transport,5
Formosa Airlines,5
LAN,5
LANSA,5
Linee Aeree Italiane,5
Pan American Airways,5
Pelita Air Service,5
New Zealand National Airways,5
Northeast Airlines,5
Royal Thai Air Force,5
Transocean Air Lines,5
Trigana Air Service,5
Syndicato Condor,5
TAAG Angola Airlines,5
Sudan Airways,5
Vietnamese Air Force,5
US Navy,4
USAir,4
Wideroe's Flyveselksap,4
TABA,4
Spantax,4
Union of Burma Airways,4
Talair,4
Trans Mediterranean Airways,4
SAETA,4
Nigeria Airways,4
Mexican Air Force,4
Pacific Coastal Airlines,4
Nicaraguan Air Force,4
Olympic Airways,4
Pennsylvania Central Airlines,4
Pan American Grace Airways,4
Petroleum Helicopter,4
Pacific Western Airlines,4
Loganair,4
Malaysia Airlines,4
Middle East Airlines,4
Mohawk Airlines,4
Mongolian Airlines,4
Myanmar Airways,4
Latecoere Airlines,4
LATI,4
German Army,4
Interflug,4
Itavia,4
Dan Air Services,4
Egyptian Air Force,4
Deccan Airways,4
Ethiopian Air Force,4
Devlet Hava Yollari,4
Dirgantara Air Services,4
Aeroput,4
Aeromexico,4
Aeronaves de Mexico,4
AB Aerotransport,4
Aero O-Y,4
American Eagle,4
Alia Royal Jordanian Airlines,4
Ansett ANA,4
Argentine Air Force,4
Cameroon Airlines,4
China Eastern Airlines,4
Cambodia Air,3
Chilean Air Force,3
Comair,3
Central African Airways,3
Central Mountain Air Services,3
Bristow Helicopters,3
Bolivian Air Force,3
Asiana Airlines,3
Algerian Air Force,3
Atlantic Southeast Airlines,3
Avio Linee Italiane,3
Boeing Aircraft Company,3
Azerbaijan Airlines,3
Bakhtar Afghan Airlines,3
ACES Colombia,3
Aeronica,3
Aerolineas TAO,3
Aeropesca Colombia,3
Aaxico Airlines,3
Aeroflot / Aeroflot,3
