operator_classification,num_of_crashes
Military,420
S,266
Private,14
Air Taxi,7
Charter,7
MIAT,4
BHS,3
British European Airways / Military,2
Provincetown,2
Mililtary,2
" S",2
A,2
Eastern Air Lines / Military,2
ELK Aviation Co,1
Empressa Commun,1
ERA Aviation,1
Era Helicopter,1
ETA,1
Express Airlines,1
Glow Air/Air Castle,1
Hallo Bay Air,1
Helicopter,1
Hlavka Aviation,1
Hughes Airwest  / Military,1
Iran Air Tours  /  Military,1
Israel Air Force /Military,1
Kabanov,1
LAV,1
Leadair,1
Libya Arab Airlines / Military,1
Lineas AÃƒÂ©reas Trans,1
Luftwaffe / Military,1
M,1
MATS,1
McKinley Air Service,1
Med Flight Air Ambulance,1
Aerocaribbean,1
Aerocontroctors,1
Aeroflot / Military,1
Aeroflot /Military,1
Aeropostale,1
Air ambulance,1
Circuit City Stores,1
Corp,1
Cubana de Aviacion / Military,1
Curtiss-Reid Flying Services Ltd,1
Dwyer Flying Service,1
Air Taxi / Speeds Flying,1
Airquarius Aviation,1
Alaska Helicopter,1
American Airlines / Military,1
Australian Corporate Jet Centres PTY,1
" de Tr",1
Slick Airways,1
SociÃƒÂ©tÃƒÂ© AÃƒÂ©rienne de Tr,1
Tech,1
Temesco Helicopter,1
Temsco Helicopter,1
Transafrik,1
Transported Areos Profesionales,1
Transportes Aereos Don Carlos,1
Ukrainian Cargo Airlines,1
United Nations,1
Uruguayan Air Force,1
R,1
Rotor Airs Inc,1
Russian Air Force / Military,1
Capital Airlines / Military,1
Middle East Airlines / Military,1
Militiary,1
Morris Hancock Flying Club,1
Mt,1
N,1
National Jet Services Inc,1
NFD,1
"NY, Phil",1
People's Army/ Military,1
Peruvian Air Force,1
