year_,num_of_crashes
1946,87
1947,82
1989,82
1948,77
1962,75
1972,75
1945,74
1994,74
1970,73
1951,72
1991,69
1996,68
1958,68
1950,68
1953,68
1960,67
1959,66
1949,66
1969,65
1957,64
1952,64
1988,64
2000,63
1968,63
1965,62
1973,62
1999,62
2003,62
1992,62
1977,61
1954,60
1995,60
1990,60
1998,59
1961,59
1963,59
1979,59
1966,58
1967,58
2001,58
1974,57
1955,57
1971,56
1938,56
1997,56
1993,56
1985,56
2002,55
1944,55
1964,55
1976,54
1982,53
1987,53
1956,52
1978,50
1975,50
2008,50
1986,49
1936,49
1983,48
1984,48
1981,48
2009,46
2004,46
2005,44
1980,44
1943,44
2007,42
1935,40
1929,39
2006,38
2010,38
1942,37
1928,36
1937,34
2011,34
1931,33
1934,30
1939,30
1932,28
1933,28
1941,27
1930,26
2012,26
2013,25
1940,25
2014,23
2016,19
2015,18
1927,18
1920,18
2017,15
2018,15
1922,13
1923,13
1926,13
1921,11
1925,10
2019,9
1924,7
1917,7
1919,7
1916,5
1918,4
1913,3
1915,2
1908,1
1909,1
1912,1
